Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
none,VAEVA,Preda Dei Venti,Artist First,"12"", EP, Ltd, Sig",,2025,36546511,Uncategorized,2026-09-03 10:30:54,,,
6302 219,Kiss,Creatures Of The Night,Casablanca,"LP, Album",,1982,1208751,Uncategorized,2026-09-03 10:36:01,,,
none,Billie Eilish,Happier Than Ever,"Darkroom (4), Interscope Records","16xFile, AAC, Album, 256",,2021,19673725,Uncategorized,2026-09-03 10:39:44,,,
none,Billie Eilish,Hit Me Hard And Soft,"Darkroom (4), Interscope Records","10xFile, AAC, Album, 256 + File, MPEG Video",,2024,30549457,Uncategorized,2026-09-03 10:41:55,,,
"DVREMC 06, DVRE MC06",Glenn Miller,Glenn Miller - The Story (25 Phonographic Memories),"Deja Vu, Deja Vu","Cass, Comp",,1989,10325354,Uncategorized,2026-09-03 10:52:11,,,
GEC 24425,Nirvana,Nevermind,"DGC, Sub Pop","Cass, Album, Dol",,1991,5441293,Uncategorized,2026-09-03 10:52:58,,,
5021732267351,Coldplay,Parachutes,Parlophone,"LP, Album, RE, 140",,2024,31728419,Uncategorized,2026-09-03 10:30:00,,,
W 489400,Led Zeppelin,Physical Graffiti,Swan Song,"Cass, Album",,1975,13507385,Uncategorized,2026-09-03 10:48:36,,,
9 47386-4,Red Hot Chili Peppers,Californication,Warner Bros. Records,"Cass, Album",,1999,5104596,Uncategorized,2026-09-03 10:46:58,,,
